angle_deg,rate_dps,wheel_rpm,g_crit,holds_g28,sat_pct_g28
8.0,40,50,28.59,1,26.0
8.0,40,100,27.97,0,33.4
8.0,40,150,27.34,0,37.0
8.0,50,-350,31.09,1,0.0
8.0,50,-300,31.09,1,0.0
8.0,50,-250,31.41,1,0.0
8.0,50,-200,31.09,1,0.0
8.0,50,-150,31.41,1,0.0
8.0,50,-100,30.78,1,0.0
8.0,50,-50,31.09,1,0.0
8.0,50,0,30.78,1,1.6
8.0,50,50,29.84,1,3.2
8.0,50,100,28.91,1,16.6
8.0,50,150,28.28,1,32.6
8.0,60,-350,32.66,1,0.0
8.0,60,-300,32.66,1,0.0
8.0,60,-250,32.66,1,0.0
8.0,60,-200,32.03,1,0.0
8.0,60,-150,31.72,1,0.0
8.0,60,-100,31.72,1,0.6
8.0,60,-50,31.72,1,2.4
8.0,60,0,31.41,1,4.8
8.0,60,50,31.09,1,6.6
8.0,60,100,30.16,1,8.4
8.0,60,150,29.53,1,11.4
8.0,70,-350,34.22,1,0.0
8.0,70,-300,33.91,1,0.0
8.0,70,-250,33.28,1,0.0
8.0,70,-200,32.97,1,0.0
8.0,70,-150,32.97,1,1.8
8.0,70,-100,32.66,1,3.4
8.0,70,-50,32.66,1,6.2
8.0,70,0,32.34,1,8.4
8.0,70,50,32.66,1,10.4
8.0,70,100,31.41,1,14.0
8.0,70,150,30.78,1,18.2
8.0,80,-350,35.78,1,0.0
8.0,80,-300,35.16,1,0.0
8.0,80,-250,34.22,1,1.6
8.0,80,-200,34.22,1,3.0
8.0,80,-150,33.91,1,4.6
8.0,80,-100,33.91,1,7.4
8.0,80,-50,33.59,1,10.0
8.0,80,0,33.28,1,13.8
8.0,80,50,32.34,1,17.8
8.0,80,100,32.03,1,24.2
8.0,80,150,19.0,1,38.6
8.0,90,-350,37.03,1,1.0
8.0,90,-300,36.09,1,2.6
8.0,90,-250,36.09,1,4.2
8.0,90,-200,35.78,1,5.8
8.0,90,-150,35.47,1,8.8
8.0,90,-100,34.84,1,12.0
8.0,90,-50,33.91,1,16.6
8.0,90,0,34.22,1,26.4
8.0,90,50,19.0,1,43.6
8.0,90,100,19.0,0,53.4
8.0,90,150,19.0,0,48.0
9.0,20,-350,19.0,0,30.0
9.0,20,-300,19.0,0,33.4
9.0,20,-250,20.16,0,36.2
9.0,20,-200,21.09,0,37.6
9.0,20,-150,22.03,0,39.8
9.0,20,-100,22.66,0,41.0
9.0,20,-50,22.97,0,42.0
9.0,20,0,23.59,0,43.0
9.0,20,50,23.91,0,44.0
9.0,20,100,24.22,0,44.4
9.0,20,150,23.91,0,45.2
9.0,30,-350,20.47,0,32.0
9.0,30,-300,22.03,0,35.4
9.0,30,-250,22.97,0,37.8
9.0,30,-200,23.59,0,39.6
9.0,30,-150,24.22,0,41.0
9.0,30,-100,24.53,0,41.8
9.0,30,-50,24.53,0,42.4
9.0,30,0,25.47,0,42.4
9.0,30,50,25.47,0,43.0
9.0,30,100,25.16,0,43.4
9.0,30,150,24.84,0,43.8
9.0,40,-350,24.22,0,35.2
9.0,40,-300,25.16,0,37.0
9.0,40,-250,25.78,0,37.8
9.0,40,-200,26.09,0,38.8
9.0,40,-150,26.09,0,39.8
9.0,40,-100,26.09,0,40.6
9.0,40,-50,26.72,0,40.4
9.0,40,0,26.72,0,39.4
9.0,40,50,26.41,0,39.6
9.0,40,100,26.09,0,40.8
9.0,40,150,25.78,0,43.4
9.0,50,-350,27.66,0,34.0
9.0,50,-300,28.28,1,34.6
9.0,50,-250,28.28,1,33.4
