spin_rpm,kick_ms,capture_deg,inertia_scale,I_w,case,tau,success,peak_opposite_deg,rise_deg,upright_s,capture_s,kick_start_s,tail_angle_deg,tail_rate_dps,impacted,final_phase
450,350,15,0.5,0.001225,nominal,0.18,False,0,2.975212830906621,,0.314,0.268,16.0,0.0,True,FALLEN
450,500,15,0.5,0.001225,nominal,0.18,False,0,2.975212830906621,,0.314,0.268,16.0,0.0,True,FALLEN
500,20,5,0.5,0.001225,nominal,0.18,False,0,0.5096850973797693,,,0.352,,,True,FALLEN
500,50,5,0.5,0.001225,nominal,0.18,False,0,3.0248794244850483,,,0.352,,,True,FALLEN
500,100,5,0.5,0.001225,nominal,0.18,False,0,13.981630483772317,,,0.352,,,True,FALLEN
500,200,5,0.5,0.001225,nominal,0.18,True,0.8580947949869947,16.858094794986993,0.5760000000000001,0.512,0.352,0.5848576660718254,2.07352510313244,False,BALANCING
500,350,5,0.5,0.001225,nominal,0.18,True,0.8580947949869947,16.858094794986993,0.5760000000000001,0.512,0.352,0.5848576660718254,2.07352510313244,False,BALANCING
500,500,5,0.5,0.001225,nominal,0.18,True,0.8580947949869947,16.858094794986993,0.5760000000000001,0.512,0.352,0.5848576660718254,2.07352510313244,False,BALANCING
500,20,10,0.5,0.001225,nominal,0.18,False,0,0.5096850973797693,,,0.352,,,True,FALLEN
500,50,10,0.5,0.001225,nominal,0.18,False,0,3.0248794244850483,,,0.352,,,True,FALLEN
500,100,10,0.5,0.001225,nominal,0.18,False,0,13.981630483772317,,,0.352,,,True,FALLEN
500,200,10,0.5,0.001225,nominal,0.18,False,0,11.785419362285873,,0.466,0.352,16.0,0.0,True,FALLEN
500,350,10,0.5,0.001225,nominal,0.18,False,0,11.785419362285873,,0.466,0.352,16.0,0.0,True,FALLEN
500,500,10,0.5,0.001225,nominal,0.18,False,0,11.785419362285873,,0.466,0.352,16.0,0.0,True,FALLEN
500,20,15,0.5,0.001225,nominal,0.18,False,0,0.5096850973797693,,,0.352,,,True,FALLEN
500,50,15,0.5,0.001225,nominal,0.18,False,0,3.0465649459574102,,0.396,0.352,16.0,0.0,True,FALLEN
500,100,15,0.5,0.001225,nominal,0.18,False,0,3.0465649459574102,,0.396,0.352,16.0,0.0,True,FALLEN
500,200,15,0.5,0.001225,nominal,0.18,False,0,3.0465649459574102,,0.396,0.352,16.0,0.0,True,FALLEN
500,350,15,0.5,0.001225,nominal,0.18,False,0,3.0465649459574102,,0.396,0.352,16.0,0.0,True,FALLEN
500,500,15,0.5,0.001225,nominal,0.18,False,0,3.0465649459574102,,0.396,0.352,16.0,0.0,True,FALLEN
550,20,5,0.5,0.001225,nominal,0.18,False,0,0.5980075586473994,,,0.52,,,True,FALLEN
550,50,5,0.5,0.001225,nominal,0.18,False,0,3.606779971118007,,,0.52,,,True,FALLEN
550,100,5,0.5,0.001225,nominal,0.18,False,16.0,32.0,0.78,,0.52,,,True,FALLEN
550,200,5,0.5,0.001225,nominal,0.18,True,2.5632730218354283,18.56327302183543,0.722,0.672,0.52,1.6087320841190178,4.119947477943392,False,BALANCING
550,350,5,0.5,0.001225,nominal,0.18,True,2.5632730218354283,18.56327302183543,0.722,0.672,0.52,1.6087320841190178,4.119947477943392,False,BALANCING
550,500,5,0.5,0.001225,nominal,0.18,True,2.5632730218354283,18.56327302183543,0.722,0.672,0.52,1.6087320841190178,4.119947477943392,False,BALANCING
550,20,10,0.5,0.001225,nominal,0.18,False,0,0.5980075586473994,,,0.52,,,True,FALLEN
550,50,10,0.5,0.001225,nominal,0.18,False,0,3.606779971118007,,,0.52,,,True,FALLEN
550,100,10,0.5,0.001225,nominal,0.18,False,16.0,32.0,0.78,,0.52,,,True,FALLEN
550,200,10,0.5,0.001225,nominal,0.18,False,0,12.500381814481667,,0.628,0.52,16.0,0.0,True,FALLEN
550,350,10,0.5,0.001225,nominal,0.18,False,0,12.500381814481667,,0.628,0.52,16.0,0.0,True,FALLEN
550,500,10,0.5,0.001225,nominal,0.18,False,0,12.500381814481667,,0.628,0.52,16.0,0.0,True,FALLEN
550,20,15,0.5,0.001225,nominal,0.18,False,0,0.5980075586473994,,,0.52,,,True,FALLEN
550,50,15,0.5,0.001225,nominal,0.18,False,0,3.0777377598725515,,0.562,0.52,16.0,0.0,True,FALLEN
550,100,15,0.5,0.001225,nominal,0.18,False,0,3.0777377598725515,,0.562,0.52,16.0,0.0,True,FALLEN
550,200,15,0.5,0.001225,nominal,0.18,False,0,3.0777377598725515,,0.562,0.52,16.0,0.0,True,FALLEN
550,350,15,0.5,0.001225,nominal,0.18,False,0,3.0777377598725515,,0.562,0.52,16.0,0.0,True,FALLEN
550,500,15,0.5,0.001225,nominal,0.18,False,0,3.0777377598725515,,0.562,0.52,16.0,0.0,True,FALLEN
580,20,5,0.5,0.001225,nominal,0.18,False,0,0.656123970497287,,,0.982,,,True,FALLEN
580,50,5,0.5,0.001225,nominal,0.18,False,0,4.005543001977573,,,0.982,,,True,FALLEN
580,100,5,0.5,0.001225,nominal,0.18,False,16.0,32.0,1.222,,0.982,,,True,FALLEN
580,200,5,0.5,0.001225,nominal,0.18,False,16.0,32.0,1.176,1.1280000000000001,0.982,16.0,0.0,True,FALLEN
580,350,5,0.5,0.001225,nominal,0.18,False,16.0,32.0,1.176,1.1280000000000001,0.982,16.0,0.0,True,FALLEN
580,500,5,0.5,0.001225,nominal,0.18,False,16.0,32.0,1.176,1.1280000000000001,0.982,16.0,0.0,True,FALLEN
580,20,10,0.5,0.001225,nominal,0.18,False,0,0.656123970497287,,,0.982,,,True,FALLEN
580,50,10,0.5,0.001225,nominal,0.18,False,0,4.005543001977573,,,0.982,,,True,FALLEN
580,100,10,0.5,0.001225,nominal,0.18,False,16.0,32.0,1.222,,0.982,,,True,FALLEN
580,200,10,0.5,0.001225,nominal,0.18,False,0,13.28311400227393,,1.088,0.982,16.0,0.0,True,FALLEN
580,350,10,0.5,0.001225,nominal,0.18,False,0,13.28311400227393,,1.088,0.982,16.0,0.0,True,FALLEN
580,500,10,0.5,0.001225,nominal,0.18,False,0,13.28311400227393,,1.088,0.982,16.0,0.0,True,FALLEN
580,20,15,0.5,0.001225,nominal,0.18,False,0,0.656123970497287,,,0.982,,,True,FALLEN
580,50,15,0.5,0.001225,nominal,0.18,False,0,3.19166022668556,,1.024,0.982,16.0,0.0,True,FALLEN
580,100,15,0.5,0.001225,nominal,0.18,False,0,3.19166022668556,,1.024,0.982,16.0,0.0,True,FALLEN
580,200,15,0.5,0.001225,nominal,0.18,False,0,3.19166022668556,,1.024,0.982,16.0,0.0,True,FALLEN
580,350,15,0.5,0.001225,nominal,0.18,False,0,3.19166022668556,,1.024,0.982,16.0,0.0,True,FALLEN
580,500,15,0.5,0.001225,nominal,0.18,False,0,3.19166022668556,,1.024,0.982,16.0,0.0,True,FALLEN
100,20,5,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.034,,,False,FALLEN
100,50,5,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.034,,,False,FALLEN
100,100,5,0.5,0.001225,half_20ms,0.18,False,0,0.03984518988979602,,,0.034,,,True,FALLEN
100,200,5,0.5,0.001225,half_20ms,0.18,False,0,0.19244936003573265,,,0.034,,,True,FALLEN
100,350,5,0.5,0.001225,half_20ms,0.18,False,0,0.19244936003573265,,,0.034,,,True,FALLEN
100,500,5,0.5,0.001225,half_20ms,0.18,False,0,0.19244936003573265,,,0.034,,,True,FALLEN
100,20,10,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.034,,,False,FALLEN
100,50,10,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.034,,,False,FALLEN
100,100,10,0.5,0.001225,half_20ms,0.18,False,0,0.03984518988979602,,,0.034,,,True,FALLEN
100,200,10,0.5,0.001225,half_20ms,0.18,False,0,0.19244936003573265,,,0.034,,,True,FALLEN
100,350,10,0.5,0.001225,half_20ms,0.18,False,0,0.19244936003573265,,,0.034,,,True,FALLEN
100,500,10,0.5,0.001225,half_20ms,0.18,False,0,0.19244936003573265,,,0.034,,,True,FALLEN
100,20,15,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.034,,,False,FALLEN
100,50,15,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.034,,,False,FALLEN
100,100,15,0.5,0.001225,half_20ms,0.18,False,0,0.03984518988979602,,,0.034,,,True,FALLEN
100,200,15,0.5,0.001225,half_20ms,0.18,False,0,0.19244936003573265,,,0.034,,,True,FALLEN
100,350,15,0.5,0.001225,half_20ms,0.18,False,0,0.19244936003573265,,,0.034,,,True,FALLEN
100,500,15,0.5,0.001225,half_20ms,0.18,False,0,0.19244936003573265,,,0.034,,,True,FALLEN
150,20,5,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.054,,,False,FALLEN
150,50,5,0.5,0.001225,half_20ms,0.18,False,0,0.0,,,0.054,,,False,FALLEN
